RIOS;X;Y;Esfera
Oiapoque;-51.581987;4.504841;Federal
Amazonas;-50.064426;0.694981;Federal
Pará;-48.333594;-0.529496;Federal
Gurupi;-46.054023;-1.096649;Federal
Rio Mearim;-44.422321;-2.72697;Estadual
Parnaíba;-41.820139;-2.725312;Federal
Ubatuba;-41.321342;-2.896385;Federal
Córrego da Mata;-37.245394;-4.795804;Federal
Piranhas ou Açu;-36.688444;-5.057144;Federal
Jacu;-35.080718;-6.179497;Federal
Curimataú;-34.99781;-6.29138;Federal
Guaju;-34.966948;-6.489038;Federal
Abiaí;-34.806478;-7.429127;Federal
Goiana;-34.831819;-7.554049;Federal
Persinunga;-35.145123;-8.92607;Federal
Paraíba;-35.824788;-9.76113;Federal
São Francisco;-36.39463;-10.503076;Federal
Sergipe;-36.992315;-10.947319;Federal
Vaza-Barris;-37.11224;-11.133869;Federal
Real;-37.333179;-11.447329;Federal
Cipó;-38.911018;-15.622484;Federal
Jequitinhonha;-38.869139;-15.824262;Federal
Buranhém;-39.059702;-16.459261;Federal
Jucuruçu;-39.220398;-17.344954;Federal
Alcobaça ou Itanhém;-39.162289;-17.533953;Federal
Peruípe;-39.33361;-17.920377;Federal
Mucuri;-39.55;-18.097815;Federal
Riacho Doce;-39.662927;-18.354867;Federal
São Mateus;-39.727347;-18.596165;Federal
Doce;-39.811641;-19.654168;Federal
Itabapoana;-40.959985;-21.301683;Federal
Paraíba do Sul;-40.993522;-21.628291;Federal
Ariró;-44.336767;-22.930643;Federal
Paca Grande;-44.40952;-22.942629;Federal
Mambucaba;-44.52829;-23.02884;Federal
Ribeira do Iguape;-47.52816;-24.759591;Federal
Saí-Guaçu;-48.576674;-25.974044;Federal
Mampituba;-49.656354;-29.296366;Federal
Arroio Chuy;-53.328739;-33.752845;Federal
