;kappa;spec_sens;no_omission;prevalence;equal_sens_spec;sensitivity;species_name;algorithm;run;partition;presencenb;absencenb;correlation;pvaluecor;AUC;AUC_pval;AUCratio;pROC;pROC_pval;TSSmax;KAPPAmax;dismo_threshold;prevalence.value;PPP;NPP;TPR;TNR;FPR;FNR;CCR;Kappa;F_score;Jaccard
1;1.21331831;-1.40988428;-4.49767981;0.3259767;0.5365469;1.60571485;rodolito;brt;1;1;565;1187;0.870087641;0;0.979408936;NA;1.958817872;1.805531603;0;0.901262199;0.877672352;spec_sens;0.322488584;0.832840237;0.998141264;0.996460177;0.904802022;0.095197978;0.003539823;0.934360731;0.857142047;0.907332796;0.830383481
7;0.94621437;0.94621437;-2.85649666;0.3112852;1.19846788;1.91500009;rodolito;brt;1;2;565;1187;0.871985182;0;0.977694194;NA;1.955388389;1.805522795;0;0.915151606;0.89522494;spec_sens;0.322488584;0.893964111;0.985074627;0.969911504;0.945240101;0.054759899;0.030088496;0.953196347;0.89522494;0.930390492;0.86984127
13;1.56096023;-0.56595162;-2.10667711;0.32734888;1.01961225;1.88859225;rodolito;brt;1;3;565;1188;0.87551625;0;0.98056226;NA;1.96112452;1.825525233;0;0.90764429;0.88144446;spec_sens;0.322304621;0.854517611;0.993636364;0.987610619;0.92003367;0.07996633;0.012389381;0.941814033;0.872031341;0.916256158;0.845454545
19;1.31005198;0.68366489;-2.86010772;0.34008341;1.13443903;1.98341905;rodolito;brt;1;4;565;1187;0.885758463;0;0.98559468;NA;1.97118936;1.818540015;0;0.927371003;0.913170065;spec_sens;0.322488584;0.900651466;0.989455185;0.978761062;0.948609941;0.051390059;0.021238938;0.958333333;0.906766935;0.938083121;0.883386581
25;1.51200804;-0.07482936;-2.19709021;0.31504361;1.40596913;1.88249803;rodolito;brt;1;5;565;1187;0.87264102;0;0.979751884;NA;1.959503769;1.830166724;0;0.907576921;0.889006263;spec_sens;0.322488584;0.854517611;0.993630573;0.987610619;0.919966302;0.080033698;0.012389381;0.941780822;0.871992757;0.916256158;0.845454545
2;0.4232989;0.33442251;0.0044293;0.32052718;0.54857873;0.62654008;rodolito;glm;1;1;565;1187;0.86318114;0;0.968411478;NA;1.936822957;1.659124056;0;0.881793172;0.84992269;spec_sens;0.322488584;0.830075188;0.988040478;0.97699115;0.904802022;0.095197978;0.02300885;0.928082192;0.842714338;0.897560976;0.814159292
8;0.5155312;0.36038615;0.00354998;0.32070746;0.58135486;0.64027337;rodolito;glm;1;2;565;1187;0.864577095;0;0.965350292;NA;1.930700584;1.423206398;0;0.884993029;0.856331748;spec_sens;0.322488584;0.839694656;0.986326345;0.973451327;0.911541702;0.088458298;0.026548673;0.931506849;0.849537319;0.901639344;0.820895522
14;0.56235879;0.35344942;0.00606423;0.32577689;0.56235879;0.62415946;rodolito;glm;1;3;565;1188;0.865138588;0;0.967700605;NA;1.93540121;1.596480683;0;0.88718304;0.852633403;spec_sens;0.322304621;0.830838323;0.99078341;0.982300885;0.904882155;0.095117845;0.017699115;0.929834569;0.846710067;0.900243309;0.818584071
20;0.53539852;0.40265899;0.00472059;0.32654365;0.57779347;0.65656719;rodolito;glm;1;4;565;1187;0.883741162;0;0.973543774;NA;1.947087549;1.39867498;0;0.899739807;0.877336515;spec_sens;0.322488584;0.84992343;0.990900819;0.982300885;0.917438922;0.082561078;0.017699115;0.938356164;0.864462919;0.911330049;0.837104072
26;0.55574398;0.48527114;0.00351684;0.32498601;0.57142219;0.65707514;rodolito;glm;1;5;565;1187;0.866608076;0;0.967651028;NA;1.935302055;1.540228515;0;0.882713168;0.859320458;spec_sens;0.322488584;0.853773585;0.980286738;0.961061947;0.921651222;0.078348778;0.038938053;0.934360731;0.854576635;0.904246461;0.825227964
3;0.33113431;0.25482784;0.00091327;0.32266862;0.40153047;0.56526025;rodolito;maxent;1;1;565;1187;0.892000271;0;0.978014031;NA;1.956028062;1.751986297;0;0.901849684;0.870957865;spec_sens;0.322488584;0.840840841;0.995395948;0.991150442;0.910699242;0.089300758;0.008849558;0.936643836;0.861500201;0.909829407;0.834575261
9;0.54928829;0.37666042;0.00824077;0.32156061;0.53567254;0.5896544;rodolito;maxent;1;2;565;1187;0.888914422;0;0.975500071;NA;1.951000142;1.785715274;0;0.907066972;0.889006263;spec_sens;0.322488584;0.869291339;0.988361683;0.97699115;0.930075821;0.069924179;0.02300885;0.945205479;0.878548579;0.92;0.851851852
15;0.51929589;0.36073964;0.11340061;0.32155405;0.45631164;0.58381518;rodolito;maxent;1;3;565;1188;0.888748714;0;0.979537261;NA;1.959074521;1.799081838;0;0.892297607;0.877143361;spec_sens;0.322304621;0.861198738;0.983020554;0.966371681;0.925925926;0.074074074;0.033628319;0.93896178;0.864611416;0.910758966;0.836140888
21;0.53346206;0.40864752;0.09059628;0.32569107;0.4790301;0.59961702;rodolito;maxent;1;4;565;1187;0.904606106;0;0.985169722;NA;1.970339444;1.802142284;0;0.909084403;0.898960892;spec_sens;0.322488584;0.889250814;0.983304042;0.966371681;0.942712721;0.057287279;0.033628319;0.950342466;0.888886621;0.926208651;0.862559242
27;0.53544565;0.4421347;0.18716256;0.32302091;0.55001797;0.60404881;rodolito;maxent;1;5;565;1187;0.892500002;0;0.978591079;NA;1.957182158;1.839004957;0;0.911109289;0.893318074;spec_sens;0.322488584;0.881410256;0.986702128;0.973451327;0.937657961;0.062342039;0.026548673;0.949200913;0.886845359;0.925147183;0.860719875
4;0.15725419;0.06360072;4.84E-06;0.32249469;0.10722306;0.21636379;rodolito;maxnet;1;1;565;1187;0.841786034;0;0.98080235;NA;1.9616047;1.766128183;0;0.888610388;0.870462682;spec_sens;0.322488584;0.86327504;0.980409617;0.961061947;0.927548441;0.072451559;0.038938053;0.938356164;0.862997948;0.909547739;0.834101382
10;0.19828795;0.06289042;0.00071135;0.32245957;0.15174159;0.24574288;rodolito;maxnet;1;2;565;1187;0.847331189;0;0.982548404;NA;1.965096808;1.788790099;0;0.899314849;0.887042795;spec_sens;0.322488584;0.862068966;0.986535009;0.973451327;0.925863521;0.074136479;0.026548673;0.941210046;0.869868091;0.914380715;0.842266462
16;0.09771256;0.08862537;0.00057968;0.32172293;0.10089673;0.21330733;rodolito;maxnet;1;3;565;1188;0.853542927;0;0.985372903;NA;1.970745806;1.780633308;0;0.901124817;0.885638577;spec_sens;0.322304621;0.889802632;0.979039301;0.957522124;0.943602694;0.056397306;0.042477876;0.94808899;0.883494288;0.922421142;0.856012658
22;0.18630554;0.11164726;0.00038408;0.31964282;0.12451314;0.2538919;rodolito;maxnet;1;4;565;1187;0.863568704;0;0.985078766;NA;1.970157533;1.784960461;0;0.910429356;0.897335019;spec_sens;0.322488584;0.903333333;0.980034722;0.959292035;0.951137321;0.048862679;0.040707965;0.953767123;0.895888723;0.930472103;0.869983949
28;0.11510403;0.07640958;0.003328;0.32225713;0.12504645;0.26339726;rodolito;maxnet;1;5;565;1187;0.861500232;0;0.984802917;NA;1.969605833;1.783950682;0;0.904199626;0.888176776;spec_sens;0.322488584;0.875399361;0.984902309;0.969911504;0.934288121;0.065711879;0.030088496;0.945776256;0.879325895;0.920235097;0.852255054
5;0.71786667;0.46836667;-1.00E-04;0.326758;0.67226667;0.80999733;rodolito;rf;1;1;565;1187;0.908378484;0;0.985452282;NA;1.970904563;1.845720793;0;0.914904086;0.892632157;spec_sens;0.322488584;0.874015748;0.991047449;0.982300885;0.932603201;0.067396799;0.017699115;0.948630137;0.886139293;0.925;0.860465116
11;0.61626667;0.52911813;0.17766667;0.31992267;0.70756667;0.87843333;rodolito;rf;1;2;565;1187;0.920379409;0;0.987712758;NA;1.975425517;1.855207754;0;0.933608189;0.914274447;spec_sens;0.322488584;0.899838449;0.9929391;0.985840708;0.947767481;0.052232519;0.014159292;0.960045662;0.910800656;0.940878378;0.888357257
17;0.65226667;0.52406667;0.03626667;0.3292725;0.64362507;0.80843333;rodolito;rf;1;3;565;1188;0.920711384;0;0.98909225;NA;1.9781845;1.847368861;0;0.924889008;0.907015807;spec_sens;0.322304621;0.896272285;0.98943662;0.978761062;0.946127946;0.053872054;0.021238938;0.95664575;0.903095351;0.9357022;0.879173291
23;0.56376667;0.4732;0.14063333;0.32168207;0.72393333;0.84773333;rodolito;rf;1;4;565;1187;0.92657598;0;0.988735639;NA;1.977471278;1.856853057;0;0.936893037;0.92041883;spec_sens;0.322488584;0.908496732;0.992105263;0.984070796;0.952822241;0.047177759;0.015929204;0.962899543;0.916908906;0.944774851;0.895330113
29;0.72903333;0.56006667;0.26033333;0.3205;0.71639267;0.8457;rodolito;rf;1;5;565;1187;0.921744664;0;0.990079847;NA;1.980159695;1.869344651;0;0.926698526;0.918429003;spec_sens;0.322488584;0.893719807;0.991158267;0.982300885;0.944397641;0.055602359;0.017699115;0.956621005;0.903242543;0.935919056;0.87955626
6;0.56269318;0.56269318;-0.03102409;0.31980681;0.56269318;0.62737512;rodolito;svmk;1;1;565;1187;0.887341208;0;0.981169156;NA;1.962338311;1.630467215;0;0.90671955;0.895507266;spec_sens;0.322488584;0.908783784;0.976724138;0.952212389;0.954507161;0.045492839;0.047787611;0.953767123;0.895507266;0.929991357;0.86914378
12;0.5808393;0.56836127;0.12024532;0.32504111;0.58154261;0.68552099;rodolito;svmk;1;2;565;1187;0.907320517;0;0.986322327;NA;1.972644653;1.809088168;0;0.916079057;0.902091958;spec_sens;0.322488584;0.892682927;0.98592788;0.971681416;0.944397641;0.055602359;0.028318584;0.953196347;0.895319912;0.930508475;0.870047544
18;0.58403726;0.58403726;-0.06757852;0.32387794;0.58178141;0.64741522;rodolito;svmk;1;3;565;1188;0.894457391;0;0.983965019;NA;1.967930038;1.592320869;0;0.903886952;0.896398932;spec_sens;0.322304621;0.915951973;0.973504274;0.945132743;0.958754209;0.041245791;0.054867257;0.954363948;0.896398932;0.930313589;0.86970684
24;0.57609142;0.57609142;0.03921522;0.32122126;0.57609142;0.6767977;rodolito;svmk;1;4;565;1187;0.899685871;0;0.983618999;NA;1.967237999;1.788397102;0;0.924921159;0.914740628;spec_sens;0.322488584;0.923599321;0.98194325;0.962831858;0.962089301;0.037910699;0.037168142;0.962328767;0.914740628;0.942807626;0.891803279
30;0.56623761;0.56623761;0.1081823;0.3255087;0.56744391;0.68122386;rodolito;svmk;1;5;565;1187;0.905940576;0;0.986325309;NA;1.972650618;1.815937537;0;0.914641656;0.902091958;spec_sens;0.322488584;0.91092437;0.980121003;0.959292035;0.955349621;0.044650379;0.040707965;0.956621005;0.902091958;0.934482759;0.877022654
